# Seed threat-intel ranges (Tor-heavy + commonly abused VPS netblocks)
# Keep this file in CIDR notation to allow fast network matching.

# Tor and privacy-hosted ranges observed frequently in bulk exit lists
185.220.100.0/24
185.220.101.0/24
185.220.102.0/24
185.129.61.0/24
185.129.62.0/24
185.100.85.0/24
185.100.87.0/24
171.25.193.0/24
109.70.100.0/24
192.42.116.0/24
23.129.64.0/24
23.191.200.0/24
107.189.0.0/16
198.98.48.0/20
204.85.191.0/24
209.141.32.0/19
205.185.112.0/20
45.66.35.0/24
45.84.107.0/24
45.80.158.0/24
45.141.215.0/24
45.138.16.0/24
45.154.98.0/24
5.255.96.0/19
37.228.129.0/24
38.135.24.0/24
38.135.25.0/24
104.244.72.0/21
62.182.84.0/24
82.221.128.0/19
87.118.110.0/23
89.147.108.0/22
91.208.75.0/24
93.95.227.0/24
94.230.208.0/24
95.128.43.0/24
103.109.101.0/24
107.189.8.0/24
124.198.131.0/24
124.198.132.0/24
130.193.15.0/24
136.244.111.0/24
149.202.79.0/24
154.53.58.0/24
172.81.131.0/24
176.97.114.0/24
178.17.170.0/24
178.17.171.0/24
178.17.174.0/24
178.218.144.0/24
179.43.128.0/17
185.154.110.0/24
185.165.169.0/24
185.181.60.0/23
185.195.71.0/24
185.205.194.0/24
185.225.69.0/24
185.227.134.0/24
185.241.208.0/24
185.243.218.0/24
185.246.188.0/23
190.120.229.0/24
193.105.134.0/24
193.189.100.0/24
194.15.112.0/22
194.26.192.0/24
195.176.3.0/24
198.46.166.0/23
198.167.206.0/24
199.195.248.0/21

# Focused VPS and abuse-cluster ranges (avoid broad hyperscaler coverage)
45.32.0.0/16
45.63.0.0/16
66.42.0.0/16
95.179.128.0/17
104.156.224.0/19
108.61.0.0/16
149.28.0.0/16
207.148.0.0/16
172.104.0.0/16
172.232.0.0/16
178.62.0.0/16
188.166.0.0/16
206.189.0.0/16

# Reserved benchmark range kept for deterministic tests
198.51.100.0/24
